collected_at,movie_cd,movie_nm,found,reservation_rate,cum_audi
2026-08-01T14:19:39,20265146,옵세션,0,,
2026-08-01T14:19:39,20264915,딥 워터,0,,
2026-08-01T14:19:39,20265573,인 더 그레이,0,,
2026-08-01T14:19:39,20265423,더 드라마,0,,
2026-08-01T15:19:38,20204641,비광,0,,
2026-08-01T15:19:38,20264918,싱 어게인,0,,
2026-08-01T15:19:38,20265146,옵세션,0,,
2026-08-01T15:19:38,20264915,딥 워터,0,,
2026-08-01T15:19:38,20265573,인 더 그레이,0,,
2026-08-01T15:19:38,20265423,더 드라마,0,,
2026-08-01T16:19:37,20204641,비광,0,,
2026-08-01T16:19:37,20264918,싱 어게인,0,,
2026-08-01T16:19:37,20265146,옵세션,0,,
2026-08-01T16:19:37,20264915,딥 워터,0,,
2026-08-01T16:19:37,20265573,인 더 그레이,0,,
2026-08-01T16:19:37,20265423,더 드라마,0,,
2026-08-01T17:19:37,20204641,비광,0,,
2026-08-01T17:19:37,20264918,싱 어게인,0,,
2026-08-01T17:19:37,20265146,옵세션,0,,
2026-08-01T17:19:37,20264915,딥 워터,0,,
2026-08-01T17:19:37,20265573,인 더 그레이,0,,
2026-08-01T17:19:37,20265423,더 드라마,0,,
2026-08-01T18:19:37,20204641,비광,0,,
2026-08-01T18:19:37,20264918,싱 어게인,0,,
2026-08-01T18:19:37,20265146,옵세션,0,,
2026-08-01T18:19:37,20264915,딥 워터,0,,
2026-08-01T18:19:37,20265573,인 더 그레이,0,,
2026-08-01T18:19:37,20265423,더 드라마,0,,
2026-08-01T19:19:36,20204641,비광,0,,
2026-08-01T19:19:36,20264918,싱 어게인,0,,
2026-08-01T19:19:36,20265146,옵세션,0,,
2026-08-01T19:19:36,20264915,딥 워터,0,,
2026-08-01T19:19:36,20265573,인 더 그레이,0,,
2026-08-01T19:19:36,20265423,더 드라마,0,,
2026-08-01T20:19:39,20204641,비광,0,,
2026-08-01T20:19:39,20264918,싱 어게인,0,,
2026-08-01T20:19:39,20265146,옵세션,0,,
2026-08-01T20:19:39,20264915,딥 워터,0,,
2026-08-01T20:19:39,20265573,인 더 그레이,0,,
2026-08-01T20:19:39,20265423,더 드라마,0,,
2026-08-01T21:19:38,20204641,비광,0,,
2026-08-01T21:19:38,20264918,싱 어게인,0,,
2026-08-01T21:19:38,20265146,옵세션,0,,
2026-08-01T21:19:38,20264915,딥 워터,0,,
2026-08-01T21:19:38,20265573,인 더 그레이,0,,
2026-08-01T21:19:38,20265423,더 드라마,0,,
2026-08-01T22:19:43,20204641,비광,0,,
2026-08-01T22:19:43,20264918,싱 어게인,0,,
2026-08-01T22:19:43,20265146,옵세션,0,,
2026-08-01T22:19:43,20264915,딥 워터,0,,
2026-08-01T22:19:43,20265573,인 더 그레이,0,,
2026-08-01T22:19:43,20265423,더 드라마,0,,
2026-08-01T23:19:41,20204641,비광,0,,
2026-08-01T23:19:41,20264918,싱 어게인,0,,
2026-08-01T23:19:41,20265146,옵세션,0,,
2026-08-01T23:19:41,20264915,딥 워터,0,,
2026-08-01T23:19:41,20265573,인 더 그레이,0,,
2026-08-01T23:19:41,20265423,더 드라마,0,,
2026-08-02T00:19:37,20204641,비광,0,,
2026-08-02T00:19:37,20264918,싱 어게인,0,,
2026-08-02T00:19:37,20265146,옵세션,0,,
2026-08-02T00:19:37,20264915,딥 워터,0,,
2026-08-02T00:19:37,20265573,인 더 그레이,0,,
2026-08-02T00:19:37,20265423,더 드라마,0,,
2026-08-02T01:19:37,20204641,비광,0,,
2026-08-02T01:19:37,20264918,싱 어게인,0,,
2026-08-02T01:19:37,20265146,옵세션,0,,
2026-08-02T01:19:37,20264915,딥 워터,0,,
2026-08-02T01:19:37,20265573,인 더 그레이,0,,
2026-08-02T01:19:37,20265423,더 드라마,0,,
2026-08-02T02:19:36,20204641,비광,0,,
2026-08-02T02:19:36,20264918,싱 어게인,0,,
2026-08-02T02:19:36,20265146,옵세션,0,,
2026-08-02T02:19:36,20264915,딥 워터,0,,
2026-08-02T02:19:36,20265573,인 더 그레이,0,,
2026-08-02T02:19:36,20265423,더 드라마,0,,
2026-08-02T03:19:36,20204641,비광,0,,
2026-08-02T03:19:36,20264918,싱 어게인,0,,
2026-08-02T03:19:36,20265146,옵세션,0,,
2026-08-02T03:19:36,20264915,딥 워터,0,,
2026-08-02T03:19:36,20265573,인 더 그레이,0,,
2026-08-02T03:19:36,20265423,더 드라마,0,,
2026-08-02T04:19:37,20204641,비광,0,,
2026-08-02T04:19:37,20264918,싱 어게인,0,,
2026-08-02T04:19:37,20265146,옵세션,0,,
2026-08-02T04:19:37,20264915,딥 워터,0,,
2026-08-02T04:19:37,20265573,인 더 그레이,0,,
2026-08-02T04:19:37,20265423,더 드라마,0,,
2026-08-02T05:19:39,20204641,비광,0,,
2026-08-02T05:19:39,20264918,싱 어게인,0,,
2026-08-02T05:19:39,20265146,옵세션,0,,
2026-08-02T05:19:39,20264915,딥 워터,0,,
2026-08-02T05:19:39,20265573,인 더 그레이,0,,
2026-08-02T05:19:39,20265423,더 드라마,0,,
2026-08-02T06:19:37,20204641,비광,0,,
2026-08-02T06:19:37,20264918,싱 어게인,0,,
2026-08-02T06:19:37,20265146,옵세션,0,,
2026-08-02T06:19:37,20264915,딥 워터,0,,
2026-08-02T06:19:37,20265573,인 더 그레이,0,,
2026-08-02T06:19:37,20265423,더 드라마,0,,
