batch_id,date,movie_cd,movie_nm,open_dt,day_offset,seat_sell_ratio_pct,seat_occupancy_pct,seat_cnt,sales_amt,sales_amt_acc,audi_cnt,audi_cnt_acc
pg15_2025,20251208,20257161,국보,20251119,19,8.7,1.6,31748,26153400,1386007250,2763,146717
pg15_2025,20251209,20257161,국보,20251119,20,11.2,1.6,32474,32962400,1418969650,3623,150340
pg15_2025,20260708,20261467,시크릿 에이전트,20260708,0,16.9,0.5,10338,16242150,27253420,1742,2779
pg15_2025,20260709,20261467,시크릿 에이전트,20260708,1,9.6,0.5,10047,10253350,37506770,969,3748
pg15_2025,20260710,20261467,시크릿 에이전트,20260708,2,10.8,0.5,9571,11910050,49416820,1037,4785
pg15_2025,20260711,20261467,시크릿 에이전트,20260708,3,19.9,0.4,8368,18741350,68158170,1664,6449
pg15_2025,20260712,20261467,시크릿 에이전트,20260708,4,16.0,0.4,9875,18076500,86234670,1582,8031
pg15_2025,20260713,20261467,시크릿 에이전트,20260708,5,7.9,0.5,9589,8057300,94291970,753,8784
pg15_2025,20260714,20261467,시크릿 에이전트,20260708,6,7.4,0.6,10003,8485500,102777470,741,9525
pg15_2025,20260715,20261467,시크릿 에이전트,20260708,7,17.4,0.2,4053,7946450,110723920,706,10231
pg15_2025,20260716,20261467,시크릿 에이전트,20260708,8,14.3,0.1,2608,3650300,114374220,373,10604
pg15_2025,20260717,20261467,시크릿 에이전트,20260708,9,22.7,0.2,5131,13017050,127391270,1162,11766
pg15_2025,20260718,20261467,시크릿 에이전트,20260708,10,19.9,0.2,3234,7117650,134508920,645,12411
pg15_2025,20260719,20261467,시크릿 에이전트,20260708,11,18.1,0.2,4968,10146850,144655770,899,13310
pg15_2025,20260720,20261467,시크릿 에이전트,20260708,12,11.6,0.2,2795,3313600,147969370,323,13633
pg15_2025,20260721,20261467,시크릿 에이전트,20260708,13,9.2,0.2,3916,3555950,151525320,362,13995
pg15_2025,20260722,20261467,시크릿 에이전트,20260708,14,14.1,0.1,2152,2654500,154179820,304,14299
pg15_2025,20260723,20261467,시크릿 에이전트,20260708,15,11.1,0.2,2860,2860500,157040320,318,14617
pg15_2025,20260724,20261467,시크릿 에이전트,20260708,16,14.0,0.1,2100,2858800,159899120,294,14911
pg15_2025,20260725,20261467,시크릿 에이전트,20260708,17,21.3,0.1,2798,5658200,165557320,596,15507
