batch_id,date,movie_cd,movie_nm,open_dt,day_offset,seat_sell_ratio_pct,seat_occupancy_pct,seat_cnt,sales_amt,sales_amt_acc,audi_cnt,audi_cnt_acc
r18_2025,20250612,20253922,브링 허 백,20250606,6,4.6,2.2,42331,17977200,365380000,1924,44291
r18_2025,20250613,20253922,브링 허 백,20250606,7,6.3,2.0,41178,24368600,389748600,2590,46881
r18_2025,20250614,20253922,브링 허 백,20250606,8,10.5,1.6,36497,35557100,425305700,3830,50711
r18_2025,20250615,20253922,브링 허 백,20250606,9,7.6,1.5,33108,23309700,448615400,2502,53213
r18_2025,20250616,20253922,브링 허 백,20250606,10,3.9,1.7,29889,10756700,459372100,1165,54378
r18_2025,20250617,20253922,브링 허 백,20250606,11,3.5,2.0,35212,11661000,471033100,1248,55626
r18_2025,20250618,20253922,브링 허 백,20250606,12,6.3,1.4,27423,13509900,484543000,1723,57349
r18_2025,20250619,20253922,브링 허 백,20250606,13,5.1,1.0,20663,8295400,492838400,1052,58401
r18_2025,20250620,20253922,브링 허 백,20250606,14,7.7,0.9,18460,10612300,503450700,1429,59830
r18_2025,20250621,20253922,브링 허 백,20250606,15,9.8,0.6,14605,12087500,515538200,1436,61266
r18_2025,20250622,20253922,브링 허 백,20250606,16,9.7,0.6,14528,10581600,526119800,1407,62673
r18_2025,20250623,20253922,브링 허 백,20250606,17,3.8,0.8,14524,5177700,531297500,557,63230
r18_2025,20250624,20253922,브링 허 백,20250606,18,4.2,0.7,13416,5307200,536604700,566,63796
r18_2025,20250625,20253922,브링 허 백,20250606,19,4.0,0.2,4528,1649500,538254200,183,63979
r18_2025,20250626,20253922,브링 허 백,20250606,20,7.9,0.3,6319,3547300,541801500,500,64479
r18_2025,20250620,20254122,퀴어,20250620,0,6.9,3.0,64015,45259600,51000600,4406,4888
r18_2025,20250621,20254122,퀴어,20250620,1,6.6,2.1,52246,35569300,86569900,3422,8310
r18_2025,20250622,20254122,퀴어,20250620,2,5.9,2.0,46354,27955200,114525100,2717,11027
r18_2025,20250623,20254122,퀴어,20250620,3,3.3,2.6,50349,15972300,130497400,1667,12694
r18_2025,20250624,20254122,퀴어,20250620,4,3.0,2.5,47045,13388500,143885900,1391,14085
r18_2025,20250625,20254122,퀴어,20250620,5,14.0,0.7,14756,13696000,157581900,2060,16145
r18_2025,20250626,20254122,퀴어,20250620,6,10.1,0.8,15183,11556500,169138400,1539,17684
r18_2025,20250627,20254122,퀴어,20250620,7,8.7,0.7,14159,11450200,180588600,1236,18920
r18_2025,20250628,20254122,퀴어,20250620,8,12.6,0.5,10748,12274800,192863400,1357,20277
r18_2025,20250629,20254122,퀴어,20250620,9,11.4,0.5,11285,11203200,204066600,1282,21559
r18_2025,20250630,20254122,퀴어,20250620,10,4.1,0.8,14384,5434800,209501400,582,22141
r18_2025,20250701,20254122,퀴어,20250620,11,4.7,0.7,13256,5859100,215360500,617,22758
r18_2025,20250702,20254122,퀴어,20250620,12,6.0,0.4,7553,4223400,219583900,455,23213
r18_2025,20250703,20254122,퀴어,20250620,13,5.9,0.4,7319,4090700,223674600,429,23642
r18_2025,20250704,20254122,퀴어,20250620,14,5.3,0.3,6261,3328600,227003200,333,23975
r18_2025,20250705,20254122,퀴어,20250620,15,10.0,0.3,6469,6560900,233564100,648,24623
r18_2025,20250706,20254122,퀴어,20250620,16,9.3,0.3,6279,5828100,239392200,584,25207
r18_2025,20250707,20254122,퀴어,20250620,17,4.1,0.4,7171,2785400,242177600,295,25502
r18_2025,20250708,20254122,퀴어,20250620,18,3.9,0.3,6237,2297600,244475200,242,25744
r18_2025,20250709,20254122,퀴어,20250620,19,5.7,0.2,3588,1977600,246452800,203,25947
r18_2025,20250710,20254122,퀴어,20250620,20,6.7,0.1,2663,1760300,248213100,177,26124
r18_2025,20250514,20254466,위드 러브,20250514,0,1.5,0.4,7678,926900,20736900,111,2941
r18_2025,20250515,20254466,위드 러브,20250514,1,1.2,0.3,5818,575000,21311900,68,3009
r18_2025,20250516,20254466,위드 러브,20250514,2,0.9,0.4,7224,573800,21885700,65,3074
